movie_name,trailer_video_id,likes,dislikes,views,sentiment_score
Birthday Girl,4vhPeNOHxsc,18150,400,1470256,0.21280051413881731
Formula 51,CaGy5JkZiis,208,11,187979,0.23768461538461536
Slackers,r9f9M6UAYb0,380,29,290541,0.195851111111111
The Truth About Charlie,Hv6LusQ-0GI,66,119,46823,-0.022375000000000006
El Crimen del Padre Amaro,zeDmHIgBZTU,293,52,681477,0.10872692307692307
Real Women Have Curves,vKpDifyDIp0,610,37,234062,0.17228865979381444
Deuces Wild,6KOCMnRex-Y,223,15,152872,0.2538642857142857
Rabbit-Proof Fence,Lbnk8wSVMaM,1252,60,557648,-0.050958730158730155
Impostor,GTBgZybSLGg,4533,265,733583,0.20946439999999966
The Rules of Attraction,GhEx0kaUlrU,3259,100,854095,0.4259322000000003
Femme Fatale,wkrb4OBZtYQ,6288,1279,2153401,0.05274658634538152
Spider-Man / Men in Black II,aLRVpAa_GOU,61,3,21587,0.02200000000000002
"Seraphin, un homme et son peche",M600Lo0gD68,49,4,75499,0.33390000000000003
Moonlight Mile,NKEUT1w9c-E,,,41507,0
Kissing Jessica Stein,uy_2GCNyzgk,1179,148,497618,0.23448461538461537
Trapped,IVS_5BiOWys,172804,29143,31073869,-0.03761619999999997
Big Trouble,592EiTD2Hgo,2345,116,662643,0.16184346153846138
Death to Smoochy,A4kbKkimKBk,,,167721,0
The Importance of Being Earnest,ssBUir2LG-U,328,14,278898,0.36745200000000006
Attack of the Clones: The IMAX Experience (IMAX),ssBUir2LG-U,328,14,278898,0.36745200000000006
Talk to Her,Lqu1rpYqw8Q,257530,57635,173879407,0.23113379999999972
Simone,E0cbWdlQg_8,115484,6434,25310029,0.2581125999999999
Spirited Away,ByXuk9QqQkk,26967,689,5085937,0.21118399999999984
Pulse: A Stomp Odyssey (IMAX),6az9wGfeSgM,11466,261,3878027,0.2918761044176706
Possession (2002),UP6jeq2MeUo,121,9,87470,0.14794444444444443
Sorority Boys,1EX1nLDlBJM,641,43,427968,0.39279354838709674
Narc,uWIH-_GmHzo,241,11,259702,0.2682035714285715
Abandon,fH0cEP0mvlU,16742,1272,7654858,0.19416859999999986
Adrenaline Rush: The Science of Risk (IMAX),ySssfiO1Xyg,93,9,78031,0.20455833333333337
Brotherhood of the Wolf,D7DTv2uBA7I,439,49,814102,0.2077885057471264
The Powerpuff Girls Movie,xnv1Lz-ZpmA,31896,7975,12904733,0.14509619238476956
Knockaround Guys,dvyeucAN6Q8,165,14,201439,-0.050550000000000005
Undisputed,FQ_1s9Lf05c,100976,5847,33348715,0.11510799999999985
Wes Craven Presents: They,Dy1x23yLuSg,344,21,301575,-0.014638461538461524
The Quiet American,WR7cc5t7tv8,46791,1419,14085615,0.12208739999999993
